product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Halofit - Immune Booster Plus Package 10 Days,Vitamin & Suplemen, Layanan rekomendasi suplemen kesehatan untuk membantu meningkatkan imunitas dan energi untuk beraktivitas secara maksimal. ," Immune Booster Plus adalah paket kombinasi suplemen yang mengandung Echinacea, Elderberry, Zinc, Vitamin C serta Vitamin D. Echinacea dan Vitamin C bermanfaat membantu meningkatkan daya tahan tubuh dan kesehatan serta berperan sebagai antioksidan untuk menangkal radikal bebas.  Vitamin D bermanfaat untuk membantu kinerja kelompok sel darah putih dalam menjaga daya tahan tubuh. ", Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 10 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
HaloDiet: Weight Loss Supplies,Saluran Pencernaan, Layanan rekomendasi suplemen kesehatan untuk membersihkan saluran pencernaan dari racun maupun kolesterol dan untuk memperbaiki gangguan pencernaan. , HaloDiet Weight Loss supplies merupakan paket yang diperkaya dengan vitamin dan nutrisi penting yang diperlukan dalam tubuh untuk membantu membantu menunjang memperbaiki gangguan pencernaan. Tonicard yang dapat membantu memelihara kesehatan tubuh. Fibrefirst memiliki manfaat ganda dari Natural Green FIbre dan Essential Nutrition. Tiap sachet dari fibrefirst dapat membersihkan saluran pencernaan dari racun dan kolesterol yang terdapat pada tubuh. ," Tonicard 10 Kapsul : 1 kali sehari 1 kapsul

Fibrefirst 7 Sachet : 1 Sachet per malam "," Tonicard 10 Kapsul : Sesudah makan

Fibrefirst 7 Sachet : Gunakan satu sachet per hari sebelum tidur lebih disarankan jam 10 malam. Larutkan fibrefirst sachet dengan air dingin hingga 300 ml "
HaloDiet: Weight Gain Supplies,Saluran Pencernaan, Layanan rekomendasi suplemen kesehatan untuk menambah nafsu makan sehingga dapat meningkatkan berat badan. ," HaloDiet Weight Gain supplies merupakan paket yang berguna untuk membantu menambah nafsu makan serta memelihara kesehatan tubuh. Paket ini mengandung Fundamin-E 4 Tablet untuk membantu meningkatkan nafsu makan, memelihara kesehatan saluran cerna. Curvit 10 Kaplet yang dapat membantu memelihara kesehatan dan Peptisol Rasa French Vanilla 189 g merupakan susu bernutrisi tinggi protein untuk membantu mempercepat pemulihan.
 "," Fundamin-E 4 Tablet : 1 kali sehari 1 tablet

Curvit 10 Kaplet : 3 kali sehari 1 tablet

Peptisol Rasa French Vanilla 189 g : 2 gelas sehari @5 sendok takar "," Fundamin-E 4 Tablet : sesudah makan

Curvit 10 Kaplet : sesudah makan

Peptisol Rasa French Vanilla 189 g "
Halofit - Immune Booster 10 Days,Vitamin & Suplemen, Layanan rekomendasi paket suplemen kesehatan untuk membantu menjaga kondisi kesehatan dan meningkatkan kekebalan tubuh. ," Paket kombinasi suplemen vitamin B, C, D, dan E yang berperan penting untuk membantu meningkatkan sistem imun. ", Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 10 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
Halofit - Multivitamin 10 Days,Vitamin & Suplemen, Layanan rekomendasi suplemen kesehatan untuk meningkatkan imunitas dan memenuhi kebutuhan suplementasi harian. , Paket suplemen ini mengandung vitamin C dan D untuk membantu memenuhi kebutuhan suplementasi harian dan meningkatkan sistem imun tubuh. , Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 10 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
Halofit - Sleep & Relax 30 Days,Vitamin & Suplemen, Layanan rekomendasi suplemen kesehatan untuk memperbaiki kualitas tidur dan memelihara daya tahan tubuh. ," Paket suplemen ini mengandung kombinasi suplemen yang mengandung Hops Flos Extract, Passion Flower Flos Extract, Hawthorn Flos Extract, dan Vitamin C. Paket kombinasi bertujuan untuk memperbaiki kualitas tidur dan memelihara daya tahan tubuh. ", Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 30 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
Halofit - Vitamin C Booster 10 Days,Vitamin & Suplemen," Layanan rekomendasi paket suplemen kesehatan untuk membantu menjaga kondisi tubuh, meningkatkan kekebalan tubuh dan membantu memenuhi kebutuhan harian vitamin C tubuh. ", Paket suplemen ini mengandung vitamin C yang bermanfaat untuk membantu meningkatkan daya tahan tubuh dan kesehatan serta berperan sebagai antioksidan untuk menangkal radikal bebas. , Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 10 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
HaloDiet: Weight Maintain Supplies,Saluran Pencernaan, Layanan rekomendasi suplemen kesehatan untuk membantu kerja sistem metabolisme tubuh sehingga dapat melancarkan dan membersihkan racun pada saluran cerna. , HaloDiet Weight Maintain supplies merupakan paket dengan formula berbahan serat alami yang membantu menjaga berat badan tubuh. Paket ini mengandung beberapa vitamin dan mineral. Fibrefirst membantu memenuhi kecukupan asupan serat harian. Merit body slimming sachet yang digunakan untuk membantu kesehatan saluran cerna. ," Fibrefirst: 1 kali sehari 1-2 sachet

Merit Body Slimming Sachet 21 Pil :1 kali sehari 3 pill "," Fibrefirst : Sebelum tidur. Lebih disarankan jam 10 malam.

Merit Body Slimming Sachet 21 Pil : sebelum makan "
Halofit - Healthy & Glowing Skin 30 Days,Vitamin & Suplemen, Rekomendasi paket vitamin & suplemen untuk menjaga kondisi kesehatan serta membantu mencerahkan kulit. ," Paket vitamin dan suplemen ini mengandung kombinasi vitamin E yang berfungsi sebagai antioksidan yang dapat menangkal radikal bebas, serta formula Coenzym Q10 untuk menjaga kesehatan serta fungsi otot jantung. ", Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 30 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
Halofit - Healthy & Strong Bones 30 Days,Vitamin & Suplemen," Paket suplemen yang dapat membantu meredakan nyeri sendi pada lutut, pinggang, bahu serta menjaga kesehatan tulang. "," Rekomendasi paket kombinasi herbal Ekstrak Phaleria, serta suplementasi Chondroitin, Glukosamin, Vitamin C, Kalsium, dan Vitamin D yang dapat membantu meredakan pegal linu dan nyeri sendi dan menjaga kesehatan tulang dan sendi. ", Sesuai petunjuk dalam kemasan. ," Produk dikemas dalam kemasan primer untuk konsumsi selama 30 hari.
Diminum sesuai dengan petunjuk cara penggunaan produk dalam kemasan. "
